payment_id,unit_id,tenant_id,property_id,unit_type,lease_type,payment_method,payment_date,due_date,amount_due,amount_paid,late_fee,days_late,delinquent_flag,vacancy_flag,payment_flag,billed_flag,collected_flag,late_flag
PAY-03-00030,U-003-285,T-11104,PROP-003,2BR,Standard,ACH,2025-12-01,2025-12-01,2068.72,2068.72,0.0,0,0,0,1,1,1,0
PAY-03-00031,U-002-321,T-66044,PROP-002,Studio,Month-to-Month,Check,2025-12-01,2025-12-01,1239.32,1239.32,0.0,0,0,0,1,1,1,0
PAY-03-00032,U-002-237,T-97411,PROP-002,3BR,Standard,ACH,,2025-12-01,2416.58,0.0,0.0,0,0,1,0,1,0,0
PAY-03-00033,U-003-256,T-89964,PROP-003,2BR,Standard,ACH,2025-12-01,2025-12-01,1965.39,1965.39,0.0,0,0,0,1,1,1,0
PAY-03-00034,U-003-266,T-97014,PROP-003,2BR,Corporate,Check,2025-12-08,2025-12-01,2033.23,2033.23,64.0,7,0,0,1,1,1,1
PAY-03-00035,U-002-137,T-70696,PROP-002,1BR,Month-to-Month,Online,2025-12-16,2025-12-01,1533.48,1533.48,80.0,15,0,0,1,1,1,1
PAY-03-00036,U-002-133,T-74099,PROP-002,1BR,Standard,ACH,2025-12-01,2025-12-01,1549.01,1549.01,0.0,0,0,0,1,1,1,0
PAY-03-00037,U-004-211,,PROP-004,Studio,Standard,Check,2025-12-06,2025-12-01,1224.79,1224.79,0.0,5,0,0,1,1,1,0
PAY-03-00038,U-002-193,T-63288,PROP-002,3BR,Month-to-Month,Check,2025-12-03,2025-12-01,2494.95,2494.95,0.0,2,0,0,1,1,1,0
PAY-03-00039,U-003-149,T-76395,PROP-003,3BR,Standard,ACH,2025-12-03,2025-12-01,2399.44,2399.44,0.0,2,0,0,1,1,1,0
PAY-03-00040,U-002-167,T-62384,PROP-002,2BR,Month-to-Month,Online,2025-12-28,2025-12-01,2073.04,2073.04,110.0,30,1,0,1,1,1,1
PAY-03-00041,U-004-153,T-11072,PROP-004,1BR,Standard,Check,2025-12-06,2025-12-01,1548.54,1548.54,0.0,5,0,0,1,1,1,0
PAY-03-00042,U-001-381,T-61840,PROP-001,1BR,Standard,Cash,,2025-12-01,1515.34,0.0,0.0,0,0,1,0,1,0,0
PAY-03-00043,U-004-175,T-22842,PROP-004,3BR,Standard,Check,2025-12-21,2025-12-01,2382.83,2382.83,90.0,20,0,0,1,1,1,1
PAY-03-00044,U-003-195,T-76560,PROP-003,Studio,Corporate,ACH,2025-12-01,2025-12-01,1170.13,1170.13,0.0,0,0,0,1,1,1,0
PAY-03-00045,U-003-104,T-85274,PROP-003,1BR,Standard,ACH,2025-12-02,2025-12-01,1482.57,1482.57,0.0,1,0,0,1,1,1,0
PAY-03-00046,U-001-201,T-42448,PROP-001,3BR,Standard,Online,2025-12-02,2025-12-01,2450.14,2450.14,0.0,1,0,0,1,1,1,0
PAY-03-00047,U-001-255,T-22953,PROP-001,2BR,Standard,ACH,2025-12-06,2025-12-01,2081.92,2081.92,0.0,5,0,0,1,1,1,0
PAY-03-00048,U-001-245,T-19186,PROP-001,2BR,Standard,Online,2025-12-04,2025-12-01,1909.35,1909.35,0.0,3,0,0,1,1,1,0
PAY-03-00049,U-001-303,T-94016,PROP-001,2BR,Corporate,Check,2025-12-01,2025-12-01,1916.87,1916.87,0.0,0,0,0,1,1,1,0
PAY-03-00050,U-002-311,T-96928,PROP-002,3BR,Standard,Online,2025-12-16,2025-12-01,2573.01,2573.01,80.0,15,0,0,1,1,1,1
PAY-03-00051,U-004-266,T-14994,PROP-004,2BR,Standard,ACH,,2025-12-01,2016.45,0.0,0.0,0,0,1,0,1,0,0
PAY-03-00052,U-004-207,T-80795,PROP-004,2BR,Month-to-Month,Check,2025-12-11,2025-12-01,1992.19,1992.19,70.0,10,0,0,1,1,1,1
PAY-03-00053,U-001-339,T-15893,PROP-001,Studio,Corporate,ACH,2025-12-03,2025-12-01,1173.52,1173.52,0.0,2,0,0,1,1,1,0
PAY-03-00054,U-004-114,T-29829,PROP-004,1BR,Corporate,Cash,2025-12-03,2025-12-01,1444.58,1444.58,0.0,2,0,0,1,1,1,0
PAY-03-00055,U-003-378,T-21845,PROP-003,3BR,Standard,ACH,2025-12-04,2025-12-01,2496.01,2496.01,0.0,3,0,0,1,1,1,0
PAY-03-00056,U-004-205,T-77857,PROP-004,3BR,Corporate,Online,2025-12-06,2025-12-01,2500.05,2500.05,0.0,5,0,0,1,1,1,0
PAY-03-00057,U-004-140,T-92180,PROP-004,1BR,Standard,Check,2025-12-01,2025-12-01,1567.27,1567.27,0.0,0,0,0,1,1,1,0
PAY-03-00058,U-002-276,T-77287,PROP-002,2BR,Standard,Check,2025-12-16,2025-12-01,1913.39,1913.39,80.0,15,0,0,1,1,1,1
PAY-03-00059,U-004-395,T-49525,PROP-004,2BR,Month-to-Month,Check,2025-12-01,2025-12-01,2049.78,2049.78,0.0,0,0,0,1,1,1,0
PAY-03-00060,U-003-336,T-53659,PROP-003,3BR,Month-to-Month,ACH,2025-12-01,2025-12-01,2417.74,2417.74,0.0,0,0,0,1,1,1,0
PAY-03-00061,U-004-247,T-16800,PROP-004,2BR,Month-to-Month,Check,2025-12-01,2025-12-01,1902.61,1902.61,0.0,0,0,0,1,1,1,0
PAY-03-00062,U-004-178,T-66665,PROP-004,1BR,Standard,ACH,2025-12-21,2025-12-01,1492.2,1492.2,90.0,20,0,0,1,1,1,1
PAY-03-00063,U-004-270,T-39958,PROP-004,Studio,Corporate,Check,2025-12-01,2025-12-01,1249.78,1249.78,0.0,0,0,0,1,1,1,0
PAY-03-00064,U-003-236,T-94283,PROP-003,2BR,Corporate,ACH,,2025-12-01,1972.22,0.0,0.0,0,0,1,0,1,0,0
PAY-03-00065,U-004-375,T-44084,PROP-004,2BR,Month-to-Month,ACH,2025-12-11,2025-12-01,1973.28,1973.28,70.0,10,0,0,1,1,1,1
PAY-03-00066,U-004-378,T-98924,PROP-004,1BR,Month-to-Month,Online,2025-12-01,2025-12-01,1452.86,1452.86,0.0,0,0,0,1,1,1,0
PAY-03-00067,U-003-345,T-40393,PROP-003,1BR,Standard,Check,2025-12-01,2025-12-01,1448.38,1448.38,0.0,0,0,0,1,1,1,0
PAY-03-00068,U-003-221,T-91593,PROP-003,2BR,Standard,Online,2025-12-08,2025-12-01,2065.35,2065.35,64.0,7,0,0,1,1,1,1
PAY-03-00069,U-004-181,T-22877,PROP-004,1BR,Month-to-Month,Online,2025-12-16,2025-12-01,1547.81,1547.81,80.0,15,0,0,1,1,1,1
PAY-03-00070,U-002-109,T-33961,PROP-002,3BR,Standard,ACH,2025-12-01,2025-12-01,2559.02,2559.02,0.0,0,0,0,1,1,1,0
PAY-03-00071,U-003-329,T-21741,PROP-003,1BR,Corporate,Check,,2025-12-01,1551.5,0.0,0.0,0,0,1,0,1,0,0
PAY-03-00072,U-001-350,T-10507,PROP-001,1BR,Corporate,Online,2025-12-01,2025-12-01,1480.01,1480.01,0.0,0,0,0,1,1,1,0
PAY-03-00073,U-004-178,T-39460,PROP-004,3BR,Standard,ACH,2025-12-02,2025-12-01,2474.38,2474.38,0.0,1,0,0,1,1,1,0
PAY-03-00074,U-004-327,T-68808,PROP-004,3BR,Standard,Cash,2025-12-01,2025-12-01,2538.32,2538.32,0.0,0,0,0,1,1,1,0
PAY-03-00075,U-003-111,T-54320,PROP-003,3BR,Standard,Check,2025-12-01,2025-12-01,2585.65,2585.65,0.0,0,0,0,1,1,1,0
PAY-03-00076,U-001-221,T-46530,PROP-001,3BR,Month-to-Month,Cash,2025-12-02,2025-12-01,2553.56,2553.56,0.0,1,0,0,1,1,1,0
PAY-03-00077,U-004-364,T-79526,PROP-004,2BR,Corporate,ACH,2025-12-06,2025-12-01,2069.2,2069.2,0.0,5,0,0,1,1,1,0
PAY-03-00078,U-003-382,T-37298,PROP-003,2BR,Corporate,Check,2025-12-01,2025-12-01,2090.35,1509.67,0.0,0,0,0,1,1,0,0
PAY-03-00079,U-003-203,T-26953,PROP-003,2BR,Standard,Cash,,2025-12-01,2068.21,0.0,0.0,0,0,1,0,1,0,0
PAY-03-00080,U-001-366,T-88793,PROP-001,2BR,Corporate,ACH,2025-12-02,2025-12-01,1948.52,1948.52,0.0,1,0,0,1,1,1,0
PAY-03-00081,U-002-232,T-21913,PROP-002,3BR,Corporate,ACH,,2025-12-01,2388.27,0.0,0.0,0,0,1,0,1,0,0
PAY-03-00082,U-003-156,T-19282,PROP-003,2BR,Standard,Cash,2025-12-01,2025-12-01,1911.33,1911.33,0.0,0,0,0,1,1,1,0
PAY-03-00083,U-004-372,T-99903,PROP-004,1BR,Standard,Online,2025-12-16,2025-12-01,1556.05,1556.05,80.0,15,0,0,1,1,1,1
PAY-03-00084,U-003-161,T-52946,PROP-003,3BR,Corporate,ACH,2025-12-03,2025-12-01,2518.04,2518.04,0.0,2,0,0,1,1,1,0
PAY-03-00085,U-003-209,T-37795,PROP-003,2BR,Corporate,Check,2025-12-08,2025-12-01,2058.74,2058.74,64.0,7,0,0,1,1,1,1
PAY-03-00086,U-003-148,T-78185,PROP-003,1BR,Month-to-Month,Online,2025-12-01,2025-12-01,1536.3,1536.3,0.0,0,0,0,1,1,1,0
PAY-03-00087,U-004-221,T-39046,PROP-004,2BR,Corporate,Cash,2025-12-01,2025-12-01,2095.18,2095.18,0.0,0,0,0,1,1,1,0
PAY-03-00088,U-001-384,T-80492,PROP-001,2BR,Month-to-Month,ACH,2025-12-01,2025-12-01,2058.7,2058.7,0.0,0,0,0,1,1,1,0
PAY-03-00089,U-002-224,T-21714,PROP-002,1BR,Month-to-Month,Check,2025-12-01,2025-12-01,1462.64,1462.64,0.0,0,0,0,1,1,1,0
PAY-03-00090,U-003-376,T-29545,PROP-003,Studio,Standard,ACH,2025-12-01,2025-12-01,1163.13,1163.13,0.0,0,0,0,1,1,1,0
PAY-03-00091,U-001-205,T-77867,PROP-001,3BR,Standard,ACH,2025-12-03,2025-12-01,2376.28,2376.28,0.0,2,0,0,1,1,1,0
PAY-03-00092,U-002-130,T-76514,PROP-002,Studio,Standard,Check,2025-12-01,2025-12-01,1174.17,1174.17,0.0,0,0,0,1,1,1,0
PAY-03-00093,U-004-168,T-47745,PROP-004,Studio,Month-to-Month,Online,2025-12-02,2025-12-01,1242.22,1242.22,0.0,1,0,0,1,1,1,0
PAY-03-00094,U-003-191,T-93378,PROP-003,2BR,Standard,Online,2025-12-02,2025-12-01,2069.84,2069.84,0.0,1,0,0,1,1,1,0
PAY-03-00095,U-004-300,T-85113,PROP-004,2BR,Standard,ACH,2025-12-01,2025-12-01,2027.0,2027.0,0.0,0,0,0,1,1,1,0
PAY-03-00096,U-001-132,T-29589,PROP-001,1BR,Corporate,ACH,2025-12-01,2025-12-01,1566.09,1566.09,0.0,0,0,0,1,1,1,0
PAY-03-00097,U-003-369,T-73892,PROP-003,2BR,Standard,Online,2025-12-03,2025-12-01,2014.22,2014.22,0.0,2,0,0,1,1,1,0
PAY-03-00098,U-001-204,T-32103,PROP-001,2BR,Standard,ACH,2025-12-04,2025-12-01,1922.4,1922.4,0.0,3,0,0,1,1,1,0
PAY-03-00099,U-003-356,T-49674,PROP-003,2BR,Month-to-Month,ACH,2025-12-16,2025-12-01,2033.28,2033.28,80.0,15,0,0,1,1,1,1
PAY-03-00100,U-004-123,T-99336,PROP-004,1BR,Standard,ACH,2025-12-03,2025-12-01,1476.41,1476.41,0.0,2,0,0,1,1,1,0
PAY-03-00101,U-003-196,T-49569,PROP-003,1BR,Month-to-Month,ACH,2025-12-01,2025-12-01,1561.99,1561.99,0.0,0,0,0,1,1,1,0
PAY-03-00102,U-002-229,T-96311,PROP-002,1BR,Corporate,ACH,2025-12-11,2025-12-01,1538.45,1538.45,70.0,10,0,0,1,1,1,1
PAY-03-00103,U-002-250,T-85335,PROP-002,2BR,Standard,Check,2025-12-02,2025-12-01,1980.33,1980.33,0.0,1,0,0,1,1,1,0
PAY-03-00104,U-002-383,T-14108,PROP-002,2BR,Month-to-Month,Check,2025-12-08,2025-12-01,1900.76,1900.76,64.0,7,0,0,1,1,1,1
PAY-03-00105,U-001-336,T-71989,PROP-001,2BR,Standard,ACH,,2025-12-01,1939.42,0.0,0.0,0,0,1,0,1,0,0
PAY-03-00106,U-002-311,T-70553,PROP-002,2BR,Month-to-Month,Online,2025-12-02,2025-12-01,2029.44,2029.44,0.0,1,0,0,1,1,1,0
PAY-03-00107,U-001-327,T-65476,PROP-001,1BR,Corporate,ACH,2025-12-11,2025-12-01,1459.8,1459.8,70.0,10,0,0,1,1,1,1
PAY-03-00108,U-003-124,T-76553,PROP-003,2BR,Month-to-Month,ACH,2025-12-02,2025-12-01,1972.5,1605.02,0.0,1,0,0,1,1,0,0
PAY-03-00109,U-004-180,T-57234,PROP-004,Studio,Corporate,Cash,2025-12-01,2025-12-01,1186.57,1186.57,0.0,0,0,0,1,1,1,0
PAY-03-00110,U-001-180,T-74870,PROP-001,2BR,Standard,Online,2025-12-01,2025-12-01,1948.88,1948.88,0.0,0,0,0,1,1,1,0
PAY-03-00111,U-002-106,T-33247,PROP-002,2BR,Standard,ACH,2025-12-02,2025-12-01,2010.23,2010.23,0.0,1,0,0,1,1,1,0
PAY-03-00112,U-001-262,T-22627,PROP-001,2BR,Month-to-Month,Online,2025-12-01,2025-12-01,2051.36,2051.36,0.0,0,0,0,1,1,1,0
PAY-03-00113,U-004-388,T-91699,PROP-004,1BR,Standard,Check,2025-12-01,2025-12-01,1504.17,1504.17,0.0,0,0,0,1,1,1,0
PAY-03-00114,U-001-289,T-11029,PROP-001,3BR,Standard,ACH,2025-12-01,2025-12-01,2522.59,2522.59,0.0,0,0,0,1,1,1,0
PAY-03-00115,U-001-154,,PROP-001,3BR,Standard,Online,2025-12-01,2025-12-01,2577.39,2577.39,0.0,0,0,0,1,1,1,0
PAY-03-00116,U-004-301,T-47727,PROP-004,1BR,Standard,ACH,2025-12-01,2025-12-01,1489.88,1489.88,0.0,0,0,0,1,1,1,0
PAY-03-00117,U-001-105,T-35034,PROP-001,1BR,Month-to-Month,Online,2025-12-02,2025-12-01,1465.61,1465.61,0.0,1,0,0,1,1,1,0
PAY-03-00118,U-002-203,T-97768,PROP-002,1BR,Month-to-Month,ACH,2025-12-04,2025-12-01,1463.7,1463.7,0.0,3,0,0,1,1,1,0
PAY-03-00119,U-004-317,T-12859,PROP-004,1BR,Corporate,ACH,2025-12-11,2025-12-01,1473.55,1473.55,70.0,10,0,0,1,1,1,1
PAY-03-00120,U-001-184,T-41900,PROP-001,1BR,Month-to-Month,ACH,2025-12-21,2025-12-01,1535.05,1535.05,90.0,20,0,0,1,1,1,1
PAY-03-00121,U-001-102,T-91942,PROP-001,Studio,Standard,ACH,2025-12-02,2025-12-01,1156.23,1156.23,0.0,1,0,0,1,1,1,0
PAY-03-00122,U-001-156,T-73311,PROP-001,2BR,Standard,Online,2025-12-02,2025-12-01,1978.13,1978.13,0.0,1,0,0,1,1,1,0
PAY-03-00123,U-001-284,T-15724,PROP-001,2BR,Month-to-Month,ACH,2025-12-03,2025-12-01,2082.8,2082.8,0.0,2,0,0,1,1,1,0
PAY-03-00124,U-003-131,T-32785,PROP-003,1BR,Month-to-Month,Check,2025-12-02,2025-12-01,1468.57,1468.57,0.0,1,0,0,1,1,1,0
PAY-03-00125,U-001-304,T-34815,PROP-001,2BR,Standard,ACH,,2025-12-01,1966.67,0.0,0.0,0,0,1,0,1,0,0
PAY-03-00126,U-001-111,T-66178,PROP-001,1BR,Corporate,Online,2025-12-02,2025-12-01,1479.72,1479.72,0.0,1,0,0,1,1,1,0
PAY-03-00127,U-001-107,T-77728,PROP-001,2BR,Standard,Check,2025-12-02,2025-12-01,1981.4,1816.16,0.0,1,0,0,1,1,0,0
PAY-03-00128,U-002-326,T-64029,PROP-002,1BR,Standard,Cash,2025-12-04,2025-12-01,1531.04,1531.04,0.0,3,0,0,1,1,1,0
PAY-03-00129,U-002-123,T-71020,PROP-002,3BR,Standard,ACH,2025-12-01,2025-12-01,2578.16,2578.16,0.0,0,0,0,1,1,1,0
PAY-03-00130,U-003-338,T-98813,PROP-003,Studio,Standard,ACH,2025-12-02,2025-12-01,1151.04,1151.04,0.0,1,0,0,1,1,1,0
PAY-03-00131,U-003-151,T-53344,PROP-003,1BR,Standard,ACH,2025-12-03,2025-12-01,1510.2,1510.2,0.0,2,0,0,1,1,1,0
PAY-03-00132,U-001-307,T-43592,PROP-001,Studio,Corporate,ACH,2025-12-01,2025-12-01,1143.35,1143.35,0.0,0,0,0,1,1,1,0
PAY-03-00133,U-004-257,T-70900,PROP-004,1BR,Standard,ACH,2025-12-04,2025-12-01,1440.16,1440.16,0.0,3,0,0,1,1,1,0
PAY-03-00134,U-001-173,T-32362,PROP-001,1BR,Standard,Check,2025-12-01,2025-12-01,1468.44,1468.44,0.0,0,0,0,1,1,1,0
PAY-03-00135,U-003-276,T-82530,PROP-003,1BR,Standard,Online,2025-12-03,2025-12-01,1562.35,1562.35,0.0,2,0,0,1,1,1,0
PAY-03-00136,U-003-191,T-40003,PROP-003,Studio,Standard,Cash,2025-12-01,2025-12-01,1147.98,1147.98,0.0,0,0,0,1,1,1,0
PAY-03-00137,U-003-311,T-17050,PROP-003,1BR,Standard,Online,2025-12-28,2025-12-01,1574.92,1574.92,110.0,30,1,0,1,1,1,1
PAY-03-00138,U-003-345,T-85688,PROP-003,3BR,Month-to-Month,ACH,2025-12-01,2025-12-01,2583.39,2583.39,0.0,0,0,0,1,1,1,0
PAY-03-00139,U-002-181,T-58560,PROP-002,2BR,Corporate,Cash,2025-12-28,2025-12-01,1948.46,1948.46,110.0,30,1,0,1,1,1,1
PAY-03-00140,U-004-173,T-83183,PROP-004,1BR,Corporate,ACH,2025-12-01,2025-12-01,1574.03,1574.03,0.0,0,0,0,1,1,1,0
PAY-03-00141,U-003-324,T-22081,PROP-003,Studio,Standard,ACH,2025-12-01,2025-12-01,1211.4,1211.4,0.0,0,0,0,1,1,1,0
PAY-03-00142,U-004-189,T-48231,PROP-004,2BR,Standard,ACH,2025-12-01,2025-12-01,2031.75,2031.75,0.0,0,0,0,1,1,1,0
PAY-03-00143,U-003-175,T-27026,PROP-003,3BR,Corporate,Check,2025-12-03,2025-12-01,2575.91,2575.91,0.0,2,0,0,1,1,1,0
PAY-03-00144,U-004-252,T-99809,PROP-004,Studio,Standard,ACH,2025-12-01,2025-12-01,1166.42,1166.42,0.0,0,0,0,1,1,1,0
PAY-03-00145,U-002-280,T-98906,PROP-002,2BR,Standard,ACH,2025-12-16,2025-12-01,1962.0,1962.0,80.0,15,0,0,1,1,1,1
PAY-03-00146,U-002-367,T-77362,PROP-002,1BR,Corporate,ACH,2025-12-11,2025-12-01,1426.37,1426.37,70.0,10,0,0,1,1,1,1
PAY-03-00147,U-001-370,T-59814,PROP-001,Studio,Standard,ACH,2025-12-06,2025-12-01,1246.64,1246.64,0.0,5,0,0,1,1,1,0
PAY-03-00148,U-003-319,T-97180,PROP-003,2BR,Standard,Online,2025-12-01,2025-12-01,2088.36,2088.36,0.0,0,0,0,1,1,1,0
PAY-03-00149,U-002-158,T-42752,PROP-002,Studio,Month-to-Month,Online,2025-12-06,2025-12-01,1146.5,1146.5,0.0,5,0,0,1,1,1,0
PAY-03-00150,U-003-320,T-55811,PROP-003,2BR,Corporate,Online,,2025-12-01,1961.5,0.0,0.0,0,0,1,0,1,0,0
PAY-03-00151,U-001-118,T-25535,PROP-001,Studio,Corporate,Check,2025-12-02,2025-12-01,1167.3,1167.3,0.0,1,0,0,1,1,1,0
PAY-03-00152,U-001-123,T-36906,PROP-001,2BR,Corporate,Check,2025-12-01,2025-12-01,1911.62,1911.62,0.0,0,0,0,1,1,1,0
PAY-03-00153,U-002-154,,PROP-002,1BR,Standard,ACH,2025-12-01,2025-12-01,1455.83,1455.83,0.0,0,0,0,1,1,1,0
PAY-03-00154,U-001-339,T-93768,PROP-001,1BR,Standard,Online,2025-12-16,2025-12-01,1453.03,1453.03,80.0,15,0,0,1,1,1,1
PAY-03-00155,U-003-169,T-77367,PROP-003,2BR,Month-to-Month,Check,2025-12-11,2025-12-01,2063.6,1766.88,70.0,10,0,0,1,1,0,1
PAY-03-00156,U-004-299,T-39157,PROP-004,2BR,Standard,Cash,2025-12-01,2025-12-01,1938.85,1938.85,0.0,0,0,0,1,1,1,0
PAY-03-00157,U-003-215,T-11227,PROP-003,1BR,Month-to-Month,Online,2025-12-04,2025-12-01,1488.26,1488.26,0.0,3,0,0,1,1,1,0
PAY-03-00158,U-001-200,T-68973,PROP-001,2BR,Corporate,Online,2025-12-08,2025-12-01,1957.19,1957.19,64.0,7,0,0,1,1,1,1
PAY-03-00159,U-001-361,T-42210,PROP-001,3BR,Month-to-Month,Check,2025-12-03,2025-12-01,2410.29,2410.29,0.0,2,0,0,1,1,1,0
PAY-03-00160,U-002-289,T-96559,PROP-002,2BR,Month-to-Month,Check,2025-12-02,2025-12-01,1963.12,1963.12,0.0,1,0,0,1,1,1,0
PAY-03-00161,U-001-118,T-96450,PROP-001,1BR,Corporate,Check,2025-12-01,2025-12-01,1453.01,1453.01,0.0,0,0,0,1,1,1,0
PAY-03-00162,U-004-106,T-95458,PROP-004,2BR,Month-to-Month,Online,,2025-12-01,1955.95,0.0,0.0,0,0,1,0,1,0,0
PAY-03-00163,U-004-221,T-27616,PROP-004,Studio,Standard,Check,2025-12-02,2025-12-01,1146.4,1146.4,0.0,1,0,0,1,1,1,0
PAY-03-00164,U-004-195,T-80916,PROP-004,2BR,Month-to-Month,Check,2025-12-02,2025-12-01,1976.01,1976.01,0.0,1,0,0,1,1,1,0
PAY-03-00165,U-004-309,T-60468,PROP-004,1BR,Standard,ACH,2025-12-03,2025-12-01,1494.41,1494.41,0.0,2,0,0,1,1,1,0
PAY-03-00166,U-002-375,T-88082,PROP-002,1BR,Standard,ACH,2025-12-11,2025-12-01,1542.67,1542.67,70.0,10,0,0,1,1,1,1
PAY-03-00167,U-001-271,T-22478,PROP-001,1BR,Standard,Online,2025-12-02,2025-12-01,1527.58,1527.58,0.0,1,0,0,1,1,1,0
PAY-03-00168,U-002-280,T-18445,PROP-002,1BR,Corporate,ACH,2025-12-08,2025-12-01,1532.03,1532.03,64.0,7,0,0,1,1,1,1
PAY-03-00169,U-004-173,,PROP-004,2BR,Corporate,ACH,2025-12-21,2025-12-01,2030.53,2030.53,90.0,20,0,0,1,1,1,1
PAY-03-00170,U-003-385,T-22333,PROP-003,1BR,Standard,Online,,2025-12-01,1444.61,0.0,0.0,0,0,1,0,1,0,0
PAY-03-00171,U-001-308,T-63437,PROP-001,Studio,Standard,ACH,2025-12-01,2025-12-01,1146.12,1146.12,0.0,0,0,0,1,1,1,0
PAY-03-00172,U-001-281,T-39840,PROP-001,3BR,Month-to-Month,ACH,2025-12-02,2025-12-01,2395.75,2395.75,0.0,1,0,0,1,1,1,0
